--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
055.717  000.039  000.039: require('nvim-treesitter.statusline')
055.768  000.049  000.049: require('nvim-treesitter.query_predicates')
055.770  000.384  000.083: require('nvim-treesitter')
055.867  000.040  000.040: require('nvim-treesitter.textobjects.shared')
055.871  000.090  000.050: require('nvim-treesitter.textobjects.select')
055.986  000.034  000.034: require('nvim-treesitter.textobjects.attach')
056.042  000.054  000.054: require('nvim-treesitter.textobjects.repeatable_move')
056.053  000.158  000.070: require('nvim-treesitter.textobjects.move')
056.544  000.062  000.062: require('nvim-treesitter.textobjects.swap')
056.711  000.057  000.057: require('nvim-treesitter.textobjects.lsp_interop')
056.795  003.733  000.677: sourcing /home/frerebo/.local/share/nvim/lazy/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
056.801  003.788  000.055: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
056.810  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
056.822  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
057.305  000.430  000.430: sourcing /home/frerebo/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
057.312  000.464  000.034: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
057.320  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
057.341  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
057.624  000.162  000.162: require('nvim-treesitter.highlight')
057.772  000.060  000.060: require('nvim-treesitter.indent')
057.907  000.048  000.048: require('nvim-treesitter.locals')
057.912  000.103  000.054: require('nvim-treesitter.incremental_selection')
058.027  000.004  000.004: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
058.108  000.017  000.017: sourcing /home/frerebo/.local/share/nvim/lazy/kmonad-vim/ftdetect/kbd.vim
058.111  000.048  000.032: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
058.123  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
058.772  000.033  000.033: require('Comment.config')
